,,,,,,,,,,,,,,,,,,,,,
THCO MIPS 基本指令集,,,操作码,PCSrc,ALUop,ALUSrc0,ALUSrc1,AluImmi,imm_ext,WB,RegDest(chooser),WBSrc,WBSP,WBT,WBIH,memWrite,memData_chooser,memRead,JR_signal,B_signal,B_com_chooser
程序内signal名字,,,,,,,,,,,,,,,,,,,,,
序号,指令,,,pc_src,alu_op,alu_src0,alu_src1,alu_src1_immi_chooser,alu_immi_extend,reg_wb_signal,reg_wb_chooser,reg_wb_data_chooser,sp_wb_signal,t_wb_signal,ih_wb_signal,mem_wb_signal,mem_wb_data_chooser,mem_read_signal,JR_signal,B_signal,B_com_chooser
1,ADDIU,,01001,00,001,rx,Immi,Imm[0:7],1,1,rx,ALU_result,0,0,0,0,x,0,,,
2,ADDIU3,,01000,00,001,rx,Immi,Imm[0:3],1,1,ry,ALU_result,0,0,0,0,x,0,,,
3,ADDSP,,01100,00,001,SP,Immi,Imm[0:7],1,0,,ALU_result,1,0,0,0,x,0,,,
4,ADDU,,11100,00,001,rx,ry,,1,1,rz,ALU_result,0,0,0,0,x,0,,,
5,AND,,11101,00,010,rx,ry,,1,1,rx,ALU_result,0,0,,,,,,,
6,B,,00010,01,,,,,1,0,,ALU_result,0,0,,,,,0,01,
7,BEQZ,,00100,,,,,,1,0,,ALU_result,,,,,,,,10,00
8,BNEZ,,00101,,,,,,1,0,,ALU_result,,,,,,,,10,01
9,BTEQZ,,01100,,,,,,1,0,,ALU_result,,,,,,,,10,10
10,CMP,,11101,00,011,rx,ry,,1,0,,ALU_result,0,1,,,,,,,
11,JR,,11101,10,,,,,1,0,,ALU_result,,,,,,,1,00,
12,LI,,01101,,001,0,Immi,Imm[0:7],0,1,rx,ALU_result,,,,,,,,,
13,LW,,10011,00,001,rx,Immi,Imm[0:4],,1,ry,memRead,0,0,,,,1,,,
14,LW_SP,,10010,00,001,SP,Immi,Imm[0:7],1,1,rx,memRead,0,0,,,,1,,,
15,MFIH,,11110,,001,IH,0,,,1,rx,ALU_result,,,,,,0,,,
16,MFPC,,11101,,001,PC,0,,,1,rx,ALU_result,,,,,,0,,,
17,MTIH,,11110,,001,rx,0,,,0,,ALU_result,,,1,,,0,,,
18,MTSP,,01100,,001,rx,0,,,0,,ALU_result,1,,0,,,0,,,
19,NOP,,00001,,,,,,,,,,,,,,,,,,
20,OR,,11101,00,100,rx,ry,,,1,rx,ALU_result,0,0,,,,,,,
21,SLL,,00110,,101,ry,Immi,Imm[2:4],0,1,rx,ALU_result,,,,,,,,,
22,SRA,,00110,,110,ry,Immi,Imm[2:4],0,1,rx,ALU_result,,,,,,,,,
23,SUBU,,11100,,011,rx,ry,,,1,rz,ALU_result,,,,,,,,,
24,SW,,11011,,001,rx,immi,Imm[0:4],1,0,,ALU_result,,,,1,ry,,,,
25,SW_SP,,11010,,001,SP,Immi,Imm[0:7],1,0,,ALU_result,,,,1,rx,,,,
26,SLTUI,,01011,,011,rx,Immi,Imm[0:7],0,,,ALU_result,,1,,,,,,,
27,NEG,,11101,,011,0,ry,,,1,rx,ALU_result,,,,,,,,,
28,SLTI,,01010,,011,rx,Immi,Imm[0:7],1,,,ALU_result,,1,,,,,,,
29,BTNEZ,,01100,,,,,,,,,,,,,,,,,10,11
30,SRLV,,11101,,111,ry,rx,,,1,ry,ALU_result,,,,,,,,,
